instruction,name,description
"I do not use the damn {{Account Category}} account, help canceling it",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
clsoe {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
"I no longer use the goddamn {{Account Type}} account, helpme cancel it",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
how can I get information about a {{Account Type}} account termination?,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
problem with {{Account Type}} account terminations,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not know what I need to do to close a pro account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i dont use m platinum account i try to remove it,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i do not know how i can cancel my {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
give me information about {{Account Type}} account cancellations,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not know how I could remove the {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
information about the termination of my platinum account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
"I don't need my platinum account, help cancelling it",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
cancel gold account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
would it be possible to close my standard account ?,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i have a problem with the removal of my {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
would it be possible to delete a {{Account Category}} account?,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not know how I could remove the {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
give me informatipn about the termination of a pro account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
need help closing the {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
"I never use my goddamn {{Account Type}} account, assistance removing it",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
find information about the removal of a gold account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
where could I get information about {{Account Type}} account deletions?,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
canceling {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
where can i get information about a {{Account Type}} account removal,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i want assistance to cancel a {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
information about the removal of a pro account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
remove {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not know what I have to do to delete a standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
clsoe {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
where can i find information about my {{Account Type}} account deletion,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I have problems with the cancellation of a damn pro account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
information about the removal of my {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
deleting {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
question about the removal of a standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
how can I cancel a freemium account?,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
give me information about the cancellation of a gold account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i do not know what i need to do to cancel the gold account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
cancelling {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i want assistance to delete the {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
"I do not need the {{Account Category}} account, can I cancel it?",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not know how to cancel my premium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I need assistance to remove my freemium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
"I don't want my user account, help cancelling it",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I need information about a {{Account Category}} account cancellation,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not know how I can cancel my {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
problems with {{Account Category}} account cancellations,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i have to close my pro account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
can you help me deleting my {{Account Type}} account?,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
removing {{Account Category}} acconut,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
remove standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I don't know what I need to do to remove my standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I don't know what I have to do to cancel my {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
"I have to cancel my platinum account, how can I do it?",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
"I never use the {{Account Type}} account, can you help me to cancel it?",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
want assistance to cancel my {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not know what I have to do to close a {{Account Type}} accoint,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
cancelin premium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
what do I need to do to remove my standard account?,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not know how to close the {{Account Category}} azccount,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
is it possible to cancel a platinum account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I don't know what I have to do to close my {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i do not know how i can remove the premium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
problems with standard account deletions,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
have problems with a {{Account Type}} account removal,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I am trying toclose the standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i need help to cancel a freemium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
"I have got to close a premium account, I need help",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
help me cancel my standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I try to delete the {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
problems with {{Account Category}} account deletions,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
removing {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
deleting account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I want assistance to cancel a gold account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i dont know how i can close the platinum account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not know what to do to delete a pro account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
delete {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not know what to do to remove my standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I need information about the cancellation of my {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i do not nkow how to delete the premium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i dont know what i have to do to delete a gold account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i want aswistance to close a {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
deleting {{Account Type}} accoumt,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i donbt know what i need to do to close my pro account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I need information about the cancellation of a gold account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i want assistance removing my {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i never use the pro account i need help deleting it,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
could you help me to close my {{Account Category}} account?,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
how can i get information about  my pro account deletion,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I want help cancelling the {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
"I want to cancel a damn {{Account Type}} account, I need help",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
where can i fiond information about a pro account removal,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I'm trying to close my {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i don use my {{Account Type}} account i dont know how i can cancel it,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i want assistance to removce the premium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
wsnna close a {{Account Type}} account i need assistance,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I would like information about the deletion of my {{Account Type}} acount,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i want help to delete my platinum account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
cancelling {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
have problems with the removal of my gold account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
have a question about the termination of a Freemiumaccount,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i dnt use my {{Account Category}} account want help to delete it,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I need information about the deletion of my {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I don't know how I could delete the standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
closing premium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I need help to close a {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I need information about the cancellation of my {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I need help to deelete a pro account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
information about the cancellation of my {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i want help removing my standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i do not know what to od to cancel the freemium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
close standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i have a problem with the cancellation of a freemium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I don't know how to cancel the standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i have problems with the deletion of a {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not know how I can close a standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I have problems with the removal of my premium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
how could i find infrmation about pro account removals,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
"I need to cancel a {{Account Type}} account, could you help me?",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
delete premium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I try to delete my platinum account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I have a question about the removal of a {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
find information about the cancellation of my {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
canceling {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
could you help me deleting a platinum account?,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I don't know what to do to remove the standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
question about the termination of my standard accout,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
what do i have to do to delete the {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
give me information about the cancellation of my {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I have a question about the termination of my {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
delete gold account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not know how I could remove my {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
need assistance closing my freemium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I need information about the removal of a premium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
can ya help me to cancel my freemium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
what do i need to do to delete the {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
question about the termination of my standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
wanna remove a {{Account Type}} account can ya helpme,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I don't know how to remove my premium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
"I do not need the {{Account Type}} account, can you help me to close it?",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
how can I cancel the {{Account Category}} account?,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i do not know what i have to do to delete the {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i do not know what to do to delete the pro account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
closing {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I have got to delete a standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I don't know how to delete my platinum account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not knw what to do to cancel my pro account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
what do I have to do to cancel my platinum account?,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I don't know what I have to do to cancel a {{Account Type}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I would like information about a {{Account Type}} account removal,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
problems with gold account cancellations,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I don't know what I need to do to cancel the {{Account Type}} avcount,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
information about the termination of my {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
remove {{Account Type}} accoint,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
give me information about the deletion of a pro account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I want help to remove my freemium account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
"I no longer make use of my {{Account Category}} account, help me close it",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I need assistance cancelling my standard account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i dont know what i need to do to close the {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
"I no longer need my {{Account Category}} account, I want to cancel it",Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
i no longer need my standard account how can i cancel it,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I do not know what I hae to do to close the {{Account Category}} account,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
can I remove a freemium account?,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
I would like information about {{Account Category}} account deletions,Account Deletion Inquiries,"Questions regarding the deletion or cancellation of accounts, including premium, standard, gold, platinum, and freemium accounts, as well as questions about account removal and termination."
